,Solution,Mass,Volume,N1,N2,N3,N4,N,rho,mu,Result,sigma
0,Background,0.0,100,12,18,9,10,12.25,0.0,,,
1,Source,0.0,100,5445,5873,5772,5842,5720.75,0.0,,,
2,Na2SO4_Solution,96.5657,75,3859,3819,3736,3810,3793.75,1.2875426666666667,0.1521277555006759,,
3,Salt_Solution,118.2096,100,3777,3764,3600,3638,3682.5,1.182096,0.16315112826772146,,
4,Sugar_Solution,108.7488,80,4068,3887,3852,3921,3919.75,1.3593600000000001,0.1400266812663235,,
5,Water,98.4848,100,4066,4171,4166,4237,4147.75,0.9848480000000001,0.11908662856895132,,
6,Ethanol,56.5878,73,4265,4392,4351,4452,4352.75,0.7751753424657535,0.10121929126404645,,
7,CocaCola_Solution,104.3418,102,4317,4191,4211,4218,4222.0,1.0229588235294118,0.11251517268569161,0.9407544098791162,8.03594551016961
8,Sunlight_Solution,98.9948,100,4247,4176,4155,4276,4201.25,0.9899479999999999,0.11433993171122883,0.9550451956802476,3.5257209792587436
9,Olong_Solution,101.8173,100,4312,4180,4212,4176,4207.75,1.018173,0.11376735283457691,0.9505609860032597,6.64052317206804
